"@TenochHuerta ¿Acaso le estas tirando a estas bonitas tiendas de @MarvelLATAM @DisneySprings @disneyplusla ? Son super fifis en tu definicion,  pero cero que hay discriminacion, de hecho es muy divertido y siempre son super amables. https://t.co/ADygCDiPLI",Positivo
"Por esto @WaltDisneyCo @disneyplus @MarvelStudios @MarvelLATAM @disneyplusla deberian cancelarlo , la conmiseracion (pasivo-agresiva) exorbitada tambien puede llegar a generar odio mal entendido. Despues de todo no hay nada mas fifi que una tienda  Disney o Marvel. https://t.co/TxEhe6S936",Negativo
@TenochHuerta pues deja de mamar pinche prieto hipocrita @DisneyStudiosLA @MarvelLATAM vean al racista que contrataron https://t.co/mIfY8HHqrU,Negativo
@MarvelLATAM @disneyplusla jajaj perrito guau guau,Neutro
#niunvotoporcabal si no tienen ni creatividad para un logo imaginese para levantar un pais. @MarvelLATAM #Colombia #Cabal #centrodemoniaco https://t.co/DTRz7mAXcj,Negativo
"@GABOZARRATE Le robaron la A  a los Avengers, aunque esta señora es como Thanos. Hasta un logo se roban imaginese el presupuesto. @MarvelLATAM https://t.co/gXPsvqf1z9",Neutro
No se que le paso a @MarvelLATAM con Eternals a pesar de su gran elenco de actores la pelicula lenta y carece dd Accion.,Positivo
@laimlowery @MarvelLATAM @Artrons JAJAJAJAJAJJAAJAJ,Negativo
Por que sigue doliendo esta herida:( @MarvelLATAM https://t.co/v09jLokH17,Negativo
@ElDimensionsbru @MarvelLATAM El señor de la renta vi3ndo como va apoder cobrar 3 alquilers https://t.co/8vrLXexgCY,Neutro
@KryzPF @MarvelLATAM Em su momento pense q la telaraña era una manito q se abria para agarrarla,Neutro
@MarvelLATAM Se ve buena ay que verla toda a ver,Positivo
Pues me como mis propias palabras. Shang-Chi. De las mejores peliculas de @MarvelLATAM @MarvelStudios,Neutro
"@MarvelLATAM #SpiderManNoWayHome. Yo subi video acerca de las teorias de la pelicula. Vaya y le dan like o comenten please🥺 estoy comenzando. los quiero mucho❤️
https://t.co/VE3xh158ku",Neutro
yo tambien quiero que me envien este set 😩 @MarvelLATAM @disneyplusla https://t.co/0KENzv7aJr,Neutro
@Gonzalomeza26 @somosgeeksnews Total. @SonyPictures @MarvelLATAM se arriesgan a perder millones si no aparecen Andrew y tobey. Creo que deben darle al publico lo que quiere,Neutro
En los #Eternals hay dos referencias al DC universe. Batman y Superman. Sera un indicio de otro gran multiverso? 😳 @DCcomicsMX  @MarvelLATAM @Marvel @SpiderManMovie,Neutro
Se le recuerda a @MarvelLATAM @Disney @DisneyPrensaMX que este señor que quieren usar como imagen latina no paga pension alimenticia https://t.co/vvSXjPjC2W,Negativo
@TenochHuerta Hola @MarvelLATAM @DisneyPrensaMX ¿en serio le dan trabajo a personas tan irresponsables e inmundas que se niegan a pagar pension alimticia?,Neutro
"#Eternals
Me la habian pintado mala.
Pero la encontre buena, cumple con el cometido de meternos al mundo cosmico de @MarvelLATAM, donde los personajes no son buenos ni malos, solo son.
PD: Angelina Jolie como #Thena 😍
#Ikaris #Druig #Phastos #Sersi #Makkari #Sprite #Kingo #Ajak",Negativo
"Con Happy no, me escuchaste @MarvelLATAM con Happy NO https://t.co/uCvmb2BKZH",Neutro
@laimlowery @MarvelLATAM Ya encontraron una mano 😂,Positivo
"😂😂😂😂
¿Los fans? ¿La comunidad?
😂😂😂😂
@MarvelLATAM @disneyplusla @Blacksince1 @SuperCapuchita @mad4yu @DrStrange @SsjEmanuel_TW @cinemadeBalor https://t.co/XdZtzREXue",Neutro
"@MarvelLATAM eres muy perverso.
Es horripilante!!!! 😠😠😠😠
Ya quitate esas mañas, por favor.
@mad4yu @Blacksince1 @SuperCapuchita @disneyplusla @laesponesa @cinemadeBalor @Electroalces https://t.co/v5HssgDeyL",Negativo
@MarvelLATAM No re xD @auronplay,Neutro
"@SicMvndvsCE @MarvelLATAM Silencio, es ASI.",Neutro
@WelcomenBP @MarvelLATAM El 20 de diciembre o por esos dias llega a Disney+,Neutro
"@TenochHuerta @MarvelLATAM ¿Tienes que contratar a personas con trastornos de la personalidad?
Ademas promueve el racismo como mecanismo de violencia verbal y escrita. https://t.co/n5hjk2tq4C",Negativo
@LuisKikeGatica @MarvelLATAM @Disney Como lo sabes bro?,Neutro
"Por que nos encantan los comics, traemos la reseña de la Historia de Marvel, por nuestro colaborador Barccio_juega. @MarvelLATAM @marvelmex #Marvel  @sonic_latam @RetroBarcelona                 https://t.co/0sV3LTYnZv😀 https://t.co/UiL9TlIjOP",Neutro
"Tendremos nuestra casa en el veverso, museos, conciertos, y tierras para @MarvelLATAM @Disney",Neutro
@DisneyPlusHelp @MarvelLATAM no hay spiderverse y cancelo mi Disney+ 😳,Positivo
"Diciembre: 
17. #SpiderManNoWayHome 
16-19 #CaliInspiraPetronio 
25-30 #FeriaDeCali 

@MarvelLATAM @PetronioCO @feriadecaliof",Neutro
"@DisneyPlusHelp @MarvelLATAM si no hay spiderverse, cancelo mi Disney + 😳",Positivo
@JuanCar72983557 @MarvelLATAM @disneyplusla Es una serie detras de camaras de cada proyecto que saquen desde la fase 4,Neutro
"@NahuelJara_ @MarvelLATAM Uu recien veo querido. Si, se lo quiere guardar pero ya lo sabemos todos. Necesito urgente que sea 16/12",Neutro
"@TenochHuerta Que traumado estas prieto😂😂😂😂
Neta como @disneyplusla @MarvelLATAM se fijo en ti, debes ir a un lokero por tanto trauma",Negativo
"@MarvelLATAM La pelicula bien, la escena del beso entre hombres mal... Avisa a que peliculas pondras esas escenas para no llevar a los peques a verla... en lo personal reprobable esa accion",Negativo
@gcJosan @SpiderManMovie @MarvelStudios @MarvelLATAM Gracias amigo 🙌🏻,Positivo
"@MarvelLATAM ""Tu no eres Peter Parker"" Me mori de sorpresa alegria fue una explocion de nostalgia, recuerdos !!!! posiblemente haya algun multiverso?",Neutro
"@CherryJois @MarvelLATAM Si llega a ocurrir, hago una publicacion y la etiqueto a usted y nos burlamos un rato.
JAJAJA 😄😄😄 https://t.co/kpbZXzv2cR",Neutro
"Twit de @MarvelLATAM:
En una semana damos justo en el blanco 🏹 
#Hawkeye, estreno 24 de noviembre en @DisneyPlusLA 
https://t.co/XAoY7OKAVq",Neutro
"INCREIBLE set de #Hawkeye que esta recibiendo prensa antes de la serie.

Hola @MarvelLATAM y @disneyplusla aqui el mayor fanboy de Kate Bishop 🏹💜 porfabor.......... https://t.co/otOQOerHce",Neutro
"@MarvelLATAM Ideas para la secuela : Mejor papel para Thena, destacar mas a Phastos y la familia, potenciar a Mikkari y Druig y porfa, que algun cometa, agujero negro o una violenta lluvia de meteoritos, desaparezcan a Kingo.",Positivo
@FaraonGfx @SpiderMan @SonyPicturesMX @MarvelLATAM Fuaa esta chido,Negativo
"@luisponteA @SpiderManMovie @MarvelStudios @MarvelLATAM Woww, esta increible man https://t.co/JiBDyxBxH0",Negativo
Te rogamos @SonyPicturesSv @MarvelLATAM escucha nuestra oracion 🙏🏻 https://t.co/H0UqX94igJ,Neutro
"@MariaTorres62 @MarvelLATAM Pa que al final no nos dieran lo solicitado, demando a Tobey Maguire perros @MarvelLATAM",Neutro
@JoMaFeCo @Raul_5510 @MarvelLATAM Anda derramando chistes el macho sioque,Negativo
@BabiloniaMauro @MarvelLATAM Amen,Positivo
"@MarvelLATAM Ya pues, diciembre metele nitro :)",Neutro
@MarvelLATAM @disneyplusla Es serie?,Positivo
Acabo de ver Eternals y lo unico que puedo decir es que esta buenisima y con mucha diversidad 👏🏻👏🏻 @MarvelLATAM,Neutro
"Oficialmente spiderman es la pelicula que actualmente tiene una expectativa arrechisima , puede que le de pela a avengers end game, @MarvelLATAM porfavor no la vayan a cagar el spiderverse tiene que ser una realidad",Negativo
"@MarvelLATAM Solo falta un villano y ese es misterio.
Esta historia va para 2 o 3 peliculas. 👌🏻😎👍🏻
#SpiderManNoWayHome",Negativo
@MarvelLATAM cuando la suben en HD? O a disneyplus?,Negativo
"@jonix209 @Dan_white09 @MarvelLATAM Por la misma razon de EndGame para que la gente siga con la intriga y se sorprendan con cada momento de la pelicula 
Osea para crear revolucion",Neutro
@GotZzy_ @SpiderManMovie @MarvelStudios @MarvelLATAM Andaba demasiado ocupado pero espero ya no desaparecer otra vez 🤞🏻,Negativo
"Villanos de todas las epocas y personajes historicos: mira el reciente trailer de ""Spider-Man: No Way Home"".

https://t.co/qM5YBr4ayb

(@MarvelLATAM)
#SpiderMan https://t.co/QZRFapEOzo",Positivo
"@FaraonGfx @SpiderMan @SonyPicturesMX @MarvelLATAM ""El recortes"" te voy a llamar xd",Negativo
@FaraonGfx @SpiderMan @SonyPicturesMX @MarvelLATAM mejoraste un chingo pero el recorte te jode un poco xd,Negativo
